company,year,quarter,earnings
Axel Springer,2017,2,"63,000,000.00"
Axel Springer,2017,3,"37,200,000.00"
Axel Springer,2017,4,"206,000,000.00"
Brenntag,2012,1,"79,100,000.00"
Brenntag,2012,2,"81,000,000.00"
Brenntag,2012,3,"78,600,000.00"
Brenntag,2012,4,"97,500,000.00"
Brenntag,2013,1,"69,700,000.00"
Brenntag,2013,2,"68,700,000.00"
Brenntag,2013,3,"80,900,000.00"
Brenntag,2013,4,"119,900,000.00"
Brenntag,2014,1,"72,100,000.00"
Brenntag,2014,2,"80,500,000.00"
Brenntag,2014,3,"86,100,000.00"
Brenntag,2014,4,"100,600,000.00"
Brenntag,2015,1,"90,600,000.00"
Brenntag,2015,2,"107,200,000.00"
Brenntag,2015,3,"93,900,000.00"
Brenntag,2015,4,"73,300,000.00"
Brenntag,2016,1,"65,900,000.00"
Brenntag,2016,2,"101,500,000.00"
Brenntag,2016,3,"93,400,000.00"
Brenntag,2016,4,"99,500,000.00"
Brenntag,2017,1,"94,500,000.00"
Brenntag,2017,2,"106,700,000.00"
Brenntag,2017,3,"100,500,000.00"
Brenntag,2017,4,"59,100,000.00"
Ceconomy St,2012,1,"-82,000,000.00"
Ceconomy St,2012,2,"-20,000,000.00"
Ceconomy St,2012,3,"77,000,000.00"
Ceconomy St,2012,4,"28,000,000.00"
Ceconomy St,2013,1,"-16,000,000.00"
Ceconomy St,2013,2,"33,000,000.00"
Ceconomy St,2013,3,"-17,000,000.00"
Ceconomy St,2013,4,"-71,000,000.00"
Ceconomy St,2014,1,"451,000,000.00"
Ceconomy St,2014,2,"-269,000,000.00"
Ceconomy St,2014,3,"-63,000,000.00"
Ceconomy St,2014,4,"8,000,000.00"
Ceconomy St,2015,1,"404,000,000.00"
Ceconomy St,2015,2,"-394,000,000.00"
Ceconomy St,2015,3,"115,000,000.00"
Ceconomy St,2015,4,"547,000,000.00"
Ceconomy St,2016,1,"549,000,000.00"
Ceconomy St,2016,2,"-65,000,000.00"
Ceconomy St,2016,3,"-24,000,000.00"
Ceconomy St,2016,4,"139,000,000.00"
Ceconomy St,2017,1,"200,000,000.00"
Ceconomy St,2017,2,"131,000,000.00"
Ceconomy St,2017,3,"132,000,000.00"
Ceconomy St,2017,4,"639,000,000.00"
CTS Eventim,2012,1,"11,000,000.00"
CTS Eventim,2012,2,"10,100,000.00"
CTS Eventim,2012,3,"6,100,000.00"
CTS Eventim,2012,4,"27,800,000.00"
CTS Eventim,2013,1,"13,000,000.00"
CTS Eventim,2013,2,"14,600,000.00"
CTS Eventim,2013,3,"7,300,000.00"
CTS Eventim,2013,4,"26,200,000.00"
CTS Eventim,2014,1,"14,900,000.00"
CTS Eventim,2014,2,"15,400,000.00"
CTS Eventim,2014,3,"9,300,000.00"
CTS Eventim,2014,4,"37,100,000.00"
CTS Eventim,2015,1,"18,400,000.00"
CTS Eventim,2015,2,"18,100,000.00"
CTS Eventim,2015,3,"10,400,000.00"
CTS Eventim,2015,4,"42,100,000.00"
CTS Eventim,2016,1,"18,600,000.00"
CTS Eventim,2016,2,"18,400,000.00"
CTS Eventim,2016,3,"9,200,000.00"
CTS Eventim,2016,4,"48,400,000.00"
CTS Eventim,2017,1,"28,100,000.00"
CTS Eventim,2017,2,"19,100,000.00"
CTS Eventim,2017,3,"13,500,000.00"
CTS Eventim,2017,4,"52,100,000.00"
Deutsche EuroShop,2012,1,"16,500,000.00"
Deutsche EuroShop,2012,2,"16,100,000.00"
Deutsche EuroShop,2012,3,"17,300,000.00"
Deutsche EuroShop,2012,4,"72,600,000.00"
Deutsche EuroShop,2013,1,"20,100,000.00"
Deutsche EuroShop,2013,2,"21,700,000.00"
Deutsche EuroShop,2013,3,"35,400,000.00"
Deutsche EuroShop,2013,4,"93,800,000.00"
Deutsche EuroShop,2014,1,"22,600,000.00"
Deutsche EuroShop,2014,2,"23,700,000.00"
Deutsche EuroShop,2014,3,"23,200,000.00"
Deutsche EuroShop,2014,4,"107,900,000.00"
Deutsche EuroShop,2015,1,"25,300,000.00"
Deutsche EuroShop,2015,2,"24,400,000.00"
Deutsche EuroShop,2015,3,"23,900,000.00"
Deutsche EuroShop,2015,4,"235,700,000.00"
Deutsche EuroShop,2016,1,"24,900,000.00"
Deutsche EuroShop,2016,2,"23,800,000.00"
Deutsche EuroShop,2016,3,"23,500,000.00"
Deutsche EuroShop,2016,4,"149,600,000.00"
Deutsche EuroShop,2017,1,"27,500,000.00"
Deutsche EuroShop,2017,2,"28,700,000.00"
Deutsche EuroShop,2017,3,"29,000,000.00"
Deutsche EuroShop,2017,4,"49,100,000.00"
Deutsche Wohnen SE,2012,1,"14,400,000.00"
Deutsche Wohnen SE,2012,2,"22,500,000.00"
Deutsche Wohnen SE,2012,3,"13,800,000.00"
Deutsche Wohnen SE,2012,4,"94,800,000.00"
Deutsche Wohnen SE,2013,1,"26,200,000.00"
Deutsche Wohnen SE,2013,2,"24,000,000.00"
Deutsche Wohnen SE,2013,3,"16,300,000.00"
Deutsche Wohnen SE,2013,4,"145,900,000.00"
Deutsche Wohnen SE,2014,1,"44,300,000.00"
Deutsche Wohnen SE,2014,2,"47,200,000.00"
Deutsche Wohnen SE,2014,3,"47,300,000.00"
Deutsche Wohnen SE,2014,4,"717,100,000.00"
Deutsche Wohnen SE,2015,1,"-47,100,000.00"
Deutsche Wohnen SE,2015,2,"571,100,000.00"
Deutsche Wohnen SE,2015,3,"-23,900,000.00"
Deutsche Wohnen SE,2015,4,"660,900,000.00"
Deutsche Wohnen SE,2016,1,"97,300,000.00"
Deutsche Wohnen SE,2016,2,"508,000,000.00"
Deutsche Wohnen SE,2016,3,"12,900,000.00"
Deutsche Wohnen SE,2016,4,"965,800,000.00"
Deutsche Wohnen SE,2017,1,"45,300,000.00"
Deutsche Wohnen SE,2017,2,"602,000,000.00"
Deutsche Wohnen SE,2017,3,"31,700,000.00"
Deutsche Wohnen SE,2017,4,"1,039,000,000.00"
Duerr,2012,1,"16,600,000.00"
Duerr,2012,2,"26,100,000.00"
Duerr,2012,3,"26,400,000.00"
Duerr,2012,4,"38,100,000.00"
Duerr,2013,1,"23,000,000.00"
Duerr,2013,2,"29,300,000.00"
Duerr,2013,3,"34,900,000.00"
Duerr,2013,4,"52,900,000.00"
Duerr,2014,1,"28,800,000.00"
Duerr,2014,2,"28,000,000.00"
Duerr,2014,3,"41,700,000.00"
Duerr,2014,4,"51,300,000.00"
Duerr,2015,1,"16,500,000.00"
Duerr,2015,2,"35,000,000.00"
Duerr,2015,3,"55,800,000.00"
Duerr,2015,4,"54,300,000.00"
Duerr,2016,1,"37,900,000.00"
Duerr,2016,2,"38,400,000.00"
Duerr,2016,3,"41,300,000.00"
Duerr,2016,4,"64,300,000.00"
Duerr,2017,1,"61,700,000.00"
Duerr,2017,2,"36,200,000.00"
Duerr,2017,3,"47,400,000.00"
Duerr,2017,4,"49,100,000.00"
Fielmann,2012,1,"32,700,000.00"
Fielmann,2012,2,"29,100,000.00"
Fielmann,2012,3,"37,000,000.00"
Fielmann,2012,4,"27,600,000.00"
Fielmann,2013,1,"32,900,000.00"
Fielmann,2013,2,"31,100,000.00"
Fielmann,2013,3,"41,500,000.00"
Fielmann,2013,4,"32,500,000.00"
Fielmann,2014,1,"40,200,000.00"
Fielmann,2014,2,"32,800,000.00"
Fielmann,2014,3,"48,900,000.00"
Fielmann,2014,4,"35,400,000.00"
Fielmann,2015,1,"43,400,000.00"
Fielmann,2015,2,"36,800,000.00"
Fielmann,2015,3,"52,300,000.00"
Fielmann,2015,4,"33,000,000.00"
Fielmann,2016,1,"36,900,000.00"
Fielmann,2016,2,"43,400,000.00"
Fielmann,2016,3,"47,800,000.00"
Fielmann,2016,4,"38,200,000.00"
Fielmann,2017,1,"41,600,000.00"
Fielmann,2017,2,"43,300,000.00"
Fielmann,2017,3,"52,200,000.00"
Fielmann,2017,4,"30,500,000.00"
Fraport,2012,1,"15,600,000.00"
Fraport,2012,2,"68,800,000.00"
Fraport,2012,3,"151,600,000.00"
Fraport,2012,4,"2,300,000.00"
Fraport,2013,1,"5,100,000.00"
Fraport,2013,2,"73,900,000.00"
Fraport,2013,3,"123,000,000.00"
Fraport,2013,4,"19,000,000.00"
Fraport,2014,1,"6,500,000.00"
Fraport,2014,2,"81,800,000.00"
Fraport,2014,3,"116,100,000.00"
Fraport,2014,4,"30,300,000.00"
Fraport,2015,1,"9,900,000.00"
Fraport,2015,2,"88,100,000.00"
Fraport,2015,3,"146,000,000.00"
Fraport,2015,4,"32,500,000.00"
Fraport,2016,1,"13,500,000.00"
Fraport,2016,2,"79,000,000.00"
Fraport,2016,3,"124,600,000.00"
Fraport,2016,4,"158,300,000.00"
Fraport,2017,1,"18,100,000.00"
Fraport,2017,2,"110,200,000.00"
Fraport,2017,3,"181,000,000.00"
Fraport,2017,4,"20,900,000.00"
Fuchs Petrolub Vz,2012,1,"51,400,000.00"
Fuchs Petrolub Vz,2012,2,"50,100,000.00"
Fuchs Petrolub Vz,2012,3,"54,900,000.00"
Fuchs Petrolub Vz,2012,4,"50,200,000.00"
Fuchs Petrolub Vz,2013,1,"51,500,000.00"
Fuchs Petrolub Vz,2013,2,"55,800,000.00"
Fuchs Petrolub Vz,2013,3,"57,900,000.00"
Fuchs Petrolub Vz,2013,4,"52,900,000.00"
Fuchs Petrolub Vz,2014,1,"52,700,000.00"
Fuchs Petrolub Vz,2014,2,"52,500,000.00"
Fuchs Petrolub Vz,2014,3,"58,600,000.00"
Fuchs Petrolub Vz,2014,4,"55,700,000.00"
Fuchs Petrolub Vz,2015,1,"56,700,000.00"
Fuchs Petrolub Vz,2015,2,"61,900,000.00"
Fuchs Petrolub Vz,2015,3,"62,000,000.00"
Fuchs Petrolub Vz,2015,4,"55,200,000.00"
Fuchs Petrolub Vz,2016,1,"58,600,000.00"
Fuchs Petrolub Vz,2016,2,"67,800,000.00"
Fuchs Petrolub Vz,2016,3,"64,700,000.00"
Fuchs Petrolub Vz,2016,4,"67,900,000.00"
Fuchs Petrolub Vz,2017,1,"66,000,000.00"
Fuchs Petrolub Vz,2017,2,"68,000,000.00"
Fuchs Petrolub Vz,2017,3,"64,000,000.00"
Fuchs Petrolub Vz,2017,4,"71,000,000.00"
GEA Group,2012,1,"12,600,000.00"
GEA Group,2012,2,"72,800,000.00"
GEA Group,2012,3,"89,400,000.00"
GEA Group,2012,4,"139,600,000.00"
GEA Group,2013,1,"40,800,000.00"
GEA Group,2013,2,"75,300,000.00"
GEA Group,2013,3,"83,100,000.00"
GEA Group,2013,4,"136,800,000.00"
GEA Group,2014,1,"47,200,000.00"
GEA Group,2014,2,"80,700,000.00"
GEA Group,2014,3,"74,600,000.00"
GEA Group,2014,4,"118,100,000.00"
GEA Group,2015,1,"40,500,000.00"
GEA Group,2015,2,"-21,800,000.00"
GEA Group,2015,3,"165,200,000.00"
GEA Group,2015,4,"178,000,000.00"
GEA Group,2016,1,"34,300,000.00"
GEA Group,2016,2,"82,800,000.00"
GEA Group,2016,3,"39,600,000.00"
GEA Group,2016,4,"127,900,000.00"
GEA Group,2017,1,"55,400,000.00"
GEA Group,2017,2,"55,400,000.00"
GEA Group,2017,3,"43,400,000.00"
GEA Group,2017,4,"89,100,000.00"
Gerresheimer ,2012,1,"5,100,000.00"
Gerresheimer ,2012,2,"15,900,000.00"
Gerresheimer ,2012,3,"13,100,000.00"
Gerresheimer ,2012,4,"26,100,000.00"
Gerresheimer ,2013,1,"8,600,000.00"
Gerresheimer ,2013,2,"10,700,000.00"
Gerresheimer ,2013,3,"18,000,000.00"
Gerresheimer ,2013,4,"24,900,000.00"
Gerresheimer ,2014,1,"9,000,000.00"
Gerresheimer ,2014,2,"19,300,000.00"
Gerresheimer ,2014,3,"18,200,000.00"
Gerresheimer ,2014,4,"19,800,000.00"
Gerresheimer ,2015,1,"11,000,000.00"
Gerresheimer ,2015,2,"20,300,000.00"
Gerresheimer ,2015,3,"18,200,000.00"
Gerresheimer ,2015,4,"54,700,000.00"
Gerresheimer ,2016,1,"16,200,000.00"
Gerresheimer ,2016,2,"29,400,000.00"
Gerresheimer ,2016,3,"30,900,000.00"
Gerresheimer ,2016,4,"45,100,000.00"
Gerresheimer ,2017,1,"12,900,000.00"
Gerresheimer ,2017,2,"24,500,000.00"
Gerresheimer ,2017,3,"25,600,000.00"
Gerresheimer ,2017,4,"37,900,000.00"
Hannover Rueck ,2012,1,"261,300,000.00"
Hannover Rueck ,2012,2,"144,000,000.00"
Hannover Rueck ,2012,3,"265,500,000.00"
Hannover Rueck ,2012,4,"187,500,000.00"
Hannover Rueck ,2013,1,"221,400,000.00"
Hannover Rueck ,2013,2,"186,300,000.00"
Hannover Rueck ,2013,3,"205,500,000.00"
Hannover Rueck ,2013,4,"282,300,000.00"
Hannover Rueck ,2014,1,"233,000,000.00"
Hannover Rueck ,2014,2,"211,400,000.00"
Hannover Rueck ,2014,3,"251,000,000.00"
Hannover Rueck ,2014,4,"290,200,000.00"
Hannover Rueck ,2015,1,"279,700,000.00"
Hannover Rueck ,2015,2,"252,200,000.00"
Hannover Rueck ,2015,3,"254,100,000.00"
Hannover Rueck ,2015,4,"365,000,000.00"
Hannover Rueck ,2016,1,"271,200,000.00"
Hannover Rueck ,2016,2,"214,900,000.00"
Hannover Rueck ,2016,3,"303,900,000.00"
Hannover Rueck ,2016,4,"381,000,000.00"
Hannover Rueck ,2017,1,"264,800,000.00"
Hannover Rueck ,2017,2,"270,200,000.00"
Hannover Rueck ,2017,3,"13,900,000.00"
Hannover Rueck ,2017,4,"409,700,000.00"
Hochtief,2012,1,"-34,100,000.00"
Hochtief,2012,2,"-15,000,000.00"
Hochtief,2012,3,"141,100,000.00"
Hochtief,2012,4,"66,100,000.00"
Hochtief,2013,1,"43,600,000.00"
Hochtief,2013,2,"82,700,000.00"
Hochtief,2013,3,"24,200,000.00"
Hochtief,2013,4,"20,700,000.00"
Hochtief,2014,1,"44,100,000.00"
Hochtief,2014,2,"56,400,000.00"
Hochtief,2014,3,"54,900,000.00"
Hochtief,2014,4,"96,300,000.00"
Hochtief,2015,1,"51,800,000.00"
Hochtief,2015,2,"55,800,000.00"
Hochtief,2015,3,"42,900,000.00"
Hochtief,2015,4,"57,800,000.00"
Hochtief,2016,1,"63,300,000.00"
Hochtief,2016,2,"76,900,000.00"
Hochtief,2016,3,"83,000,000.00"
Hochtief,2016,4,"97,300,000.00"
Hochtief,2017,1,"88,300,000.00"
Hochtief,2017,2,"100,800,000.00"
Hochtief,2017,3,"113,700,000.00"
Hochtief,2017,4,"117,900,000.00"
Hugo Boss,2012,1,"93,900,000.00"
Hugo Boss,2012,2,"40,200,000.00"
Hugo Boss,2012,3,"103,600,000.00"
Hugo Boss,2012,4,"69,700,000.00"
Hugo Boss,2013,1,"81,600,000.00"
Hugo Boss,2013,2,"52,200,000.00"
Hugo Boss,2013,3,"110,900,000.00"
Hugo Boss,2013,4,"84,300,000.00"
Hugo Boss,2014,1,"81,600,000.00"
Hugo Boss,2014,2,"61,600,000.00"
Hugo Boss,2014,3,"114,800,000.00"
Hugo Boss,2014,4,"75,300,000.00"
Hugo Boss,2015,1,"75,600,000.00"
Hugo Boss,2015,2,"70,500,000.00"
Hugo Boss,2015,3,"88,500,000.00"
Hugo Boss,2015,4,"84,800,000.00"
Hugo Boss,2016,1,"38,500,000.00"
Hugo Boss,2016,2,"11,000,000.00"
Hugo Boss,2016,3,"80,700,000.00"
Hugo Boss,2016,4,"63,400,000.00"
Hugo Boss,2017,1,"48,000,000.00"
Hugo Boss,2017,2,"57,600,000.00"
Hugo Boss,2017,3,"80,300,000.00"
Hugo Boss,2017,4,"45,200,000.00"
Jungheinrich Vz,2012,1,"25,000,000.00"
Jungheinrich Vz,2012,2,"28,200,000.00"
Jungheinrich Vz,2012,3,"27,700,000.00"
Jungheinrich Vz,2012,4,"29,400,000.00"
Jungheinrich Vz,2013,1,"21,900,000.00"
Jungheinrich Vz,2013,2,"27,400,000.00"
Jungheinrich Vz,2013,3,"26,800,000.00"
Jungheinrich Vz,2013,4,"30,800,000.00"
Jungheinrich Vz,2014,1,"25,700,000.00"
Jungheinrich Vz,2014,2,"30,200,000.00"
Jungheinrich Vz,2014,3,"31,100,000.00"
Jungheinrich Vz,2014,4,"38,800,000.00"
Jungheinrich Vz,2015,1,"27,600,000.00"
Jungheinrich Vz,2015,2,"36,600,000.00"
Jungheinrich Vz,2015,3,"34,400,000.00"
Jungheinrich Vz,2015,4,"39,000,000.00"
Jungheinrich Vz,2016,1,"28,300,000.00"
Jungheinrich Vz,2016,2,"45,000,000.00"
Jungheinrich Vz,2016,3,"34,000,000.00"
Jungheinrich Vz,2016,4,"47,100,000.00"
Jungheinrich Vz,2017,1,"38,000,000.00"
Jungheinrich Vz,2017,2,"45,900,000.00"
Jungheinrich Vz,2017,3,"40,800,000.00"
Jungheinrich Vz,2017,4,"57,400,000.00"
K+S,2012,1,"212,200,000.00"
K+S,2012,2,"138,100,000.00"
K+S,2012,3,"180,200,000.00"
K+S,2012,4,"137,100,000.00"
K+S,2013,1,"187,500,000.00"
K+S,2013,2,"102,000,000.00"
K+S,2013,3,"70,900,000.00"
K+S,2013,4,"52,400,000.00"
K+S,2014,1,"124,100,000.00"
K+S,2014,2,"106,200,000.00"
K+S,2014,3,"89,000,000.00"
K+S,2014,4,"61,200,000.00"
K+S,2015,1,"163,600,000.00"
K+S,2015,2,"153,300,000.00"
K+S,2015,3,"49,900,000.00"
K+S,2015,4,"128,400,000.00"
K+S,2016,1,"201,300,000.00"
K+S,2016,2,"100,000.00"
K+S,2016,3,"-28,300,000.00"
K+S,2016,4,"1,000,000.00"
K+S,2017,1,"102,200,000.00"
K+S,2017,2,"38,300,000.00"
K+S,2017,3,"12,200,000.00"
K+S,2017,4,"31,900,000.00"
Krones,2012,1,"22,300,000.00"
Krones,2012,2,"21,900,000.00"
Krones,2012,3,"-8,000,000.00"
Krones,2012,4,"30,800,000.00"
Krones,2013,1,"26,900,000.00"
Krones,2013,2,"28,700,000.00"
Krones,2013,3,"26,100,000.00"
Krones,2013,4,"37,700,000.00"
Krones,2014,1,"29,900,000.00"
Krones,2014,2,"32,500,000.00"
Krones,2014,3,"32,700,000.00"
Krones,2014,4,"40,800,000.00"
Krones,2015,1,"35,000,000.00"
Krones,2015,2,"38,200,000.00"
Krones,2015,3,"35,900,000.00"
Krones,2015,4,"48,300,000.00"
Krones,2016,1,"38,400,000.00"
Krones,2016,2,"36,600,000.00"
Krones,2016,3,"40,200,000.00"
Krones,2016,4,"55,600,000.00"
Krones,2017,1,"44,100,000.00"
Krones,2017,2,"39,200,000.00"
Krones,2017,3,"32,900,000.00"
Krones,2017,4,"72,600,000.00"
Lanxess,2012,1,"193,000,000.00"
Lanxess,2012,2,"176,000,000.00"
Lanxess,2012,3,"94,000,000.00"
Lanxess,2012,4,"51,000,000.00"
Lanxess,2013,1,"25,000,000.00"
Lanxess,2013,2,"9,000,000.00"
Lanxess,2013,3,"11,000,000.00"
Lanxess,2013,4,"-204,000,000.00"
Lanxess,2014,1,"25,000,000.00"
Lanxess,2014,2,"55,000,000.00"
Lanxess,2014,3,"35,000,000.00"
Lanxess,2014,4,"-68,000,000.00"
Lanxess,2015,1,"22,000,000.00"
Lanxess,2015,2,"87,000,000.00"
Lanxess,2015,3,"41,000,000.00"
Lanxess,2015,4,"15,000,000.00"
Lanxess,2016,1,"53,000,000.00"
Lanxess,2016,2,"75,000,000.00"
Lanxess,2016,3,"62,000,000.00"
Lanxess,2016,4,"2,000,000.00"
Lanxess,2017,1,"78,000,000.00"
Lanxess,2017,2,"3,000,000.00"
Lanxess,2017,3,"55,000,000.00"
Lanxess,2017,4,"-49,000,000.00"
Leoni,2012,1,"64,600,000.00"
Leoni,2012,2,"34,300,000.00"
Leoni,2012,3,"31,300,000.00"
Leoni,2012,4,"25,500,000.00"
Leoni,2013,1,"22,500,000.00"
Leoni,2013,2,"23,400,000.00"
Leoni,2013,3,"17,900,000.00"
Leoni,2013,4,"41,700,000.00"
Leoni,2014,1,"31,400,000.00"
Leoni,2014,2,"29,800,000.00"
Leoni,2014,3,"16,100,000.00"
Leoni,2014,4,"37,400,000.00"
Leoni,2015,1,"16,700,000.00"
Leoni,2015,2,"35,000,000.00"
Leoni,2015,3,"15,600,000.00"
Leoni,2015,4,"9,900,000.00"
Leoni,2016,1,"11,500,000.00"
Leoni,2016,2,"24,300,000.00"
Leoni,2016,3,"-24,400,000.00"
Leoni,2016,4,"-1,500,000.00"
Leoni,2017,1,"33,400,000.00"
Leoni,2017,2,"58,700,000.00"
Leoni,2017,3,"28,300,000.00"
Leoni,2017,4,"24,600,000.00"
MTU Aero Engines,2012,1,"54,000,000.00"
MTU Aero Engines,2012,2,"60,400,000.00"
MTU Aero Engines,2012,3,"46,000,000.00"
MTU Aero Engines,2012,4,"13,500,000.00"
MTU Aero Engines,2013,1,"36,300,000.00"
MTU Aero Engines,2013,2,"36,400,000.00"
MTU Aero Engines,2013,3,"51,800,000.00"
MTU Aero Engines,2013,4,"47,900,000.00"
MTU Aero Engines,2014,1,"46,800,000.00"
MTU Aero Engines,2014,2,"40,100,000.00"
MTU Aero Engines,2014,3,"46,200,000.00"
MTU Aero Engines,2014,4,"62,500,000.00"
MTU Aero Engines,2015,1,"21,200,000.00"
MTU Aero Engines,2015,2,"82,800,000.00"
MTU Aero Engines,2015,3,"47,800,000.00"
MTU Aero Engines,2015,4,"65,800,000.00"
MTU Aero Engines,2016,1,"90,200,000.00"
MTU Aero Engines,2016,2,"68,200,000.00"
MTU Aero Engines,2016,3,"83,800,000.00"
MTU Aero Engines,2016,4,"70,000,000.00"
MTU Aero Engines,2017,1,"104,400,000.00"
MTU Aero Engines,2017,2,"111,100,000.00"
MTU Aero Engines,2017,3,"81,800,000.00"
MTU Aero Engines,2017,4,"80,900,000.00"
Norma Group,2012,1,"16,300,000.00"
Norma Group,2012,2,"16,100,000.00"
Norma Group,2012,3,"14,800,000.00"
Norma Group,2012,4,"9,400,000.00"
Norma Group,2013,1,"15,800,000.00"
Norma Group,2013,2,"14,600,000.00"
Norma Group,2013,3,"12,500,000.00"
Norma Group,2013,4,"12,700,000.00"
Norma Group,2014,1,"13,600,000.00"
Norma Group,2014,2,"15,300,000.00"
Norma Group,2014,3,"14,400,000.00"
Norma Group,2014,4,"11,600,000.00"
Norma Group,2015,1,"17,800,000.00"
Norma Group,2015,2,"19,900,000.00"
Norma Group,2015,3,"17,400,000.00"
Norma Group,2015,4,"18,700,000.00"
Norma Group,2016,1,"19,400,000.00"
Norma Group,2016,2,"21,600,000.00"
Norma Group,2016,3,"19,300,000.00"
Norma Group,2016,4,"15,600,000.00"
Norma Group,2017,1,"22,400,000.00"
Norma Group,2017,2,"24,600,000.00"
Norma Group,2017,3,"19,100,000.00"
Norma Group,2017,4,"53,700,000.00"
Rheinmetall,2012,1,"27,000,000.00"
Rheinmetall,2012,2,"57,000,000.00"
Rheinmetall,2012,3,"33,000,000.00"
Rheinmetall,2012,4,"73,000,000.00"
Rheinmetall,2013,1,"-23,000,000.00"
Rheinmetall,2013,2,"-2,000,000.00"
Rheinmetall,2013,3,"1,000,000.00"
Rheinmetall,2013,4,"53,000,000.00"
Rheinmetall,2014,1,"-7,000,000.00"
Rheinmetall,2014,2,"9,000,000.00"
Rheinmetall,2014,3,"-14,000,000.00"
Rheinmetall,2014,4,"30,000,000.00"
Rheinmetall,2015,1,"8,000,000.00"
Rheinmetall,2015,2,"32,000,000.00"
Rheinmetall,2015,3,"33,000,000.00"
Rheinmetall,2015,4,"78,000,000.00"
Rheinmetall,2016,1,"13,000,000.00"
Rheinmetall,2016,2,"40,000,000.00"
Rheinmetall,2016,3,"42,000,000.00"
Rheinmetall,2016,4,"105,000,000.00"
Rheinmetall,2017,1,"24,000,000.00"
Rheinmetall,2017,2,"43,000,000.00"
Rheinmetall,2017,3,"36,000,000.00"
Rheinmetall,2017,4,"121,000,000.00"
Salzgitter,2012,1,"-15,500,000.00"
Salzgitter,2012,2,"-7,000,000.00"
Salzgitter,2012,3,"-25,700,000.00"
Salzgitter,2012,4,"-53,800,000.00"
Salzgitter,2013,1,"-16,600,000.00"
Salzgitter,2013,2,"-298,600,000.00"
Salzgitter,2013,3,"-67,000,000.00"
Salzgitter,2013,4,"-110,100,000.00"
Salzgitter,2014,1,"-13,300,000.00"
Salzgitter,2014,2,"-2,600,000.00"
Salzgitter,2014,3,"2,800,000.00"
Salzgitter,2014,4,"-21,600,000.00"
Salzgitter,2015,1,"32,700,000.00"
Salzgitter,2015,2,"8,600,000.00"
Salzgitter,2015,3,"-30,100,000.00"
Salzgitter,2015,4,"-59,300,000.00"
Salzgitter,2016,1,"1,000,000.00"
Salzgitter,2016,2,"8,300,000.00"
Salzgitter,2016,3,"4,400,000.00"
Salzgitter,2016,4,"40,600,000.00"
Salzgitter,2017,1,"48,700,000.00"
Salzgitter,2017,2,"14,600,000.00"
Salzgitter,2017,3,"47,100,000.00"
Salzgitter,2017,4,"79,900,000.00"
Stada,2012,1,"19,400,000.00"
Stada,2012,2,"28,700,000.00"
Stada,2012,3,"20,200,000.00"
Stada,2012,4,"18,200,000.00"
Stada,2013,1,"34,900,000.00"
Stada,2013,2,"31,700,000.00"
Stada,2013,3,"23,500,000.00"
Stada,2013,4,"31,300,000.00"
Stada,2014,1,"35,000,000.00"
Stada,2014,2,"31,800,000.00"
